28/9; 480dpi; 1080x2076; samsung; SM-G960F; starlte; samsunge; ru_RU; 161478673
28/9; 480dpi; 1080x2164; samsung; SM-G970F; beyond0; exynos982; ru_RU; 161478673
25/7.1.1; 480dpi; 1080x2076; samsung; SM-A530F; jackpotlte; samsun; ru_RU; 161478673
28/9; 640dpi; 1440x2900; samsung; SM-G950F; dreamlte; samsunge; ru_RU; 161478673
22/5.1; 240dpi; 480x854; Android; Android; Android; mt6735; ru_RU; 161478673
16/4.1.2; 160dpi; 320x480; samsung; GT-S6310N; royssnfc; qcom; ru_RU; 161478673
27/8.1.0; 240dpi; 480x888; WIKO; Tommy3; W_C201; mt6739; ru_RU; 161478673
26/8.0.0; 320dpi; 720x1280; samsung; SM-G570F; on5xelte; samsungexy; ru_RU; 161478673
26/8.0.0; 480dpi; 1080x2040; HUAWEI; RNE-L21; HWRNE; hi6250; ru_RU; 161478673
28/9; 480dpi; 2076x1080; samsung; SM-G960U; starqltesq; qcom; ru_RU; 161478673
